Magnitude,ComCat Data
2.0,5410.0
2.1,4592.0
2.2,3877.0
2.3,3286.0
2.4,2746.0
2.5,2314.0
2.6,1936.0
2.7,1635.0
2.8,1340.0
2.9,1132.0
3.0,977.0
3.1,819.0
3.2,695.0
3.3,583.0
3.4,473.0
3.5,351.0
3.6,239.0
3.7,174.0
3.8,143.0
3.9,113.0
4.0,84.0
4.1,64.0
4.2,50.0
4.3,42.0
4.4,33.0
4.5,27.0
4.6,18.0
4.7,12.0
4.8,10.0
4.9,4.0
5.0,2.0
5.1,2.0
5.2,2.0
5.3,2.0
5.4,2.0
5.5,1.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
