Magnitude,ComCat Data
0.0,52.0
0.1,52.0
0.2,52.0
0.3,52.0
0.4,52.0
0.5,52.0
0.6,52.0
0.7,52.0
0.8,52.0
0.9,52.0
1.0,52.0
1.1,52.0
1.2,52.0
1.3,52.0
1.4,52.0
1.5,52.0
1.6,52.0
1.7,52.0
1.8,52.0
1.9,51.0
2.0,48.0
2.1,46.0
2.2,39.0
2.3,33.0
2.4,26.0
2.5,21.0
2.6,17.0
2.7,13.0
2.8,12.0
2.9,10.0
3.0,5.0
3.1,3.0
3.2,3.0
3.3,2.0
3.4,2.0
3.5,2.0
3.6,2.0
3.7,2.0
3.8,1.0
3.9,1.0
4.0,1.0
4.1,1.0
4.2,1.0
4.3,1.0
4.4,1.0
4.5,1.0
4.6,1.0
4.7,1.0
4.8,1.0
4.9,1.0
5.0,1.0
5.1,1.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
